table_id,ar,az,bn,cs,en,es,fr,hi,id_casual,id_formal,it,ja_casual,ja_formal,jv_krama,jv_ngoko,ko_casual,ko_formal,mr,nan,nan_spoken,ru_casual,ru_formal,sc,si_formal_spoken,su_loma,th,tl,yo,yue,zh_cn
arxiv_02ff295e71,0.00800355894129243,0.05276364024867479,0.008217174698420203,0.208435940147857,1.0,0.24954053377990745,0.31151489708327085,0.008217174698420203,0.5581043739286612,0.5033178523198727,0.49775547533011605,0.017796237395371298,0.015293885404881332,0.3956738376701904,0.35092647842650365,0.00800355894129243,0.00800355894129243,0.008217174698420203,0.00800355894129243,0.00800355894129243,0.018555209289044104,0.12924399558103059,0.43564430567671175,0.008217174698420203,0.31343138152809413,0.00800355894129243,0.6510762338122389,0.020127885138437735,0.045739385800652635,0.043701366483088325
arxiv_0881976587,0.010438074937942448,0.10640850690356463,0.008301095462822575,0.5207559530135022,1.0,0.4278337599219722,0.2676032275663791,0.009871721786705418,0.05927598033463077,0.05927598033463077,0.2147607499133801,0.05927598033463077,0.1777011473824655,0.10640850690356463,0.026883361967085205,0.010438074937942448,0.010924856017658639,0.024010981785257506,0.06559965570884768,1.0,0.03333333333333335,0.03333333333333335,0.038233014078303,0.010438074937942448,0.21849712035317273,0.024826065966265493,1.0,0.6943209557830425,0.05810161693342871,0.05810161693342871
arxiv_0ce0508a37,0.15183711015893311,,0.2512775492185621,0.04655663535817979,0.2512775492185621,,,0.24837211817442365,,0.7730097726352412,0.4076015353750214,0.051527570290760445,0.051527570290760445,,0.4658985452691034,0.18032771481500995,0.33866560689178676,,0.2512775492185621,0.17349642027656834,,,,0.18031307339768168,,0.05041880223004747,,,0.3412422789561023,
arxiv_146818ba46,0.09283387402550672,0.7811380735217893,0.8393181069410838,0.489249515453182,1.0,0.51837531805074,0.45479124441660884,0.08673245635389941,0.7683813660503467,0.7683813660503467,0.51837531805074,0.5104779149627351,0.32488472221726167,0.8393181069410838,0.9257518071011758,0.09018037817565662,0.09147827112247602,0.08673245635389941,0.5106054866120688,0.08673245635389941,0.5154458901398172,0.5138475890707086,0.4997770345042088,1.0,0.8207515273873133,0.09018037817565662,0.948817232064567,0.0939198349679984,0.328685189695795,0.45479124441660884
arxiv_15f6e2a520,0.45699578018748943,0.933755464667134,0.7095070348031027,0.508137030139153,0.9622687143632572,0.6657786885109936,,,0.933755464667134,0.933755464667134,0.9622687143632572,0.7728590328900267,0.6758324261931568,,0.9622687143632572,0.7773501377766204,0.8056589642774314,0.8957390304336548,0.6183562051234621,0.7889745613408862,0.9337436498660878,,,0.9622687143632572,0.9622687143632572,0.6170295272322504,,0.6619631807762179,0.75235455213447,
arxiv_180665e55c,0.042601467364417965,0.042601467364417965,0.044588192733265836,0.042601467364417965,0.044588192733265836,0.044588192733265836,0.044588192733265836,0.044588192733265836,0.7822775278715743,0.40168562596414015,0.044588192733265836,0.044588192733265836,0.042601467364417965,0.40168562596414015,0.40168562596414015,0.042601467364417965,0.042601467364417965,0.19940445989088912,0.044588192733265836,0.396292649574711,0.044588192733265836,0.044588192733265836,0.042601467364417965,0.044588192733265836,0.8251717906224465,0.042601467364417965,0.8390623881636138,0.042601467364417965,0.044588192733265836,0.044588192733265836
arxiv_20b7e01d70,0.029847458960098227,0.2636955622237726,0.02460137257692754,0.1486599636902727,1.0,0.27073362211548463,0.36514837167011077,0.325909498033977,0.38630936190395015,0.0755389958905035,0.4239615629447832,0.07506238537503394,0.023887527917609022,0.21281701380712922,0.3641410562218426,0.055905111927175045,0.020086936595190463,0.02460137257692754,0.020086936595190463,0.0497074547280084,0.325909498033977,0.19230188007838597,0.16974862017186537,0.02460137257692754,0.32774568052975916,0.025257985574714006,0.23621858826556616,0.05911245883122324,0.0497074547280084,0.17098323692758396
arxiv_247c1897a1,0.8021209639719765,0.7781619919209205,0.8051466726218787,0.8021209639719765,0.81763329060012,0.7244171974413753,0.8157311440784454,0.81763329060012,0.8021209639719765,0.626414719779943,0.8157311440784454,0.8021209639719765,0.7278103450651849,0.8021209639719765,0.8676546581290715,0.7626350863055741,0.6805095866583754,0.626414719779943,0.81763329060012,0.8676546581290715,0.8002549054111004,0.9048374180359595,0.8021209639719765,0.8021209639719765,0.8656361416266872,0.81763329060012,,0.8002549054111004,0.81763329060012,0.81763329060012
arxiv_2ffada3c04,0.01215283489678308,0.5291384049053228,1.0,0.41849785046934845,1.0,0.648037726375214,0.3459185692637153,0.013808286367206993,0.5778889928754792,0.6202704071303002,0.5953244009440681,0.05775241396790035,0.06482089814677772,0.6586411183104603,0.5778889928754792,0.013007757318175156,0.011538077193855805,0.011066130143259391,0.15674709659207253,0.18040678074243013,0.1436105186447315,0.01607668943065767,0.5901245632033166,1.0,0.6052096796939471,0.5421131844943384,0.6662728647433918,0.018322309234544962,0.15790242973830088,0.2585137070387059
arxiv_306d90c626,0.06034375992751259,0.18489946950731373,0.06034375992751259,0.08318453242116927,1.0,0.38147063643223206,0.20035549410238618,0.06299277947885816,0.4786919932390648,0.39350657100215075,0.643755800481342,0.06631267808616763,0.03958529875422186,0.4786919932390648,0.4533580017597999,0.07209117403380154,0.061954340677826944,0.06299277947885816,0.061164952227919143,0.061164952227919143,0.35267044378109913,0.35267044378109913,0.5288241574391793,0.940028651976138,0.408495419013793,0.03895172954113247,0.710194874681504,0.06380575767530809,0.2260372472514858,0.2534318812367893
arxiv_3086dd5175,0.013659149296955463,0.5469200314562079,0.031420504922717064,0.7721947901921794,0.8656030552541708,0.8656030552541708,0.8656030552541708,0.02542254141389555,0.7878025709745908,0.8656030552541708,0.8656030552541708,0.6937049107407182,0.0858429831633929,0.8656030552541708,0.8656030552541708,0.02297185935845028,0.02297185935845028,0.02642138995497447,0.04520838194719227,1.0,0.5923136157487711,0.4924584878270648,0.7878025709745908,0.02542254141389555,1.0,0.7878025709745908,0.8656030552541708,0.013659149296955463,0.6455651607183006,0.6455651607183006
arxiv_4d9e33301e,0.47022156411316,0.47022156411316,0.47022156411316,0.6745582854420089,1.0,0.7586640003071782,0.47840239768267434,0.3290385879986622,0.7282821124436853,0.7282821124436853,0.47840239768267434,0.47022156411316,0.6745582854420089,0.7126109689973791,0.7282821124436853,0.47022156411316,0.47022156411316,0.47022156411316,0.9025139799587886,0.9025139799587886,0.6745582854420089,0.6745582854420089,0.7126109689973791,0.47022156411316,0.9025139799587886,0.47022156411316,0.7586640003071782,0.47022156411316,0.7064583561294233,0.7126109689973791
arxiv_5b2b28f5f6,0.013618796864073041,0.014400124446705301,0.20158074753947833,0.02560744480557418,1.0,0.07843084848545956,0.07126955677090926,0.013618796864073041,0.27447938256311044,0.2872797668292002,0.07843084848545956,0.013618796864073041,0.013618796864073041,0.21314568971111159,0.25958657290343434,0.013618796864073041,0.013618796864073041,0.013618796864073041,1.0,0.20760470031302655,0.05667859235210572,0.0745932224853342,0.07126955677090926,0.013618796864073041,0.3403336518440549,0.013618796864073041,0.602867050301643,0.02560744480557418,0.05890548730960053,0.06740258529346294
arxiv_5ef1fd398c,0.09596136927307748,0.04537732988923409,0.09485806263277712,0.1311119906961725,1.0,0.053303776263115554,0.04761298946116124,0.025321996649257883,0.03559901288052315,0.03844347898638871,0.04974668527363478,0.027049400360592172,0.01699960348373781,0.10417495275778454,0.03617804849314351,0.0250540012964448,0.022791099444516547,0.02310125372399994,0.02192949237280176,0.03673054490480513,0.11433346425964305,0.03725917780842771,0.04637523011367924,0.03844347898638871,0.08246811684697279,0.03952745497467512,0.14283896838348378,0.017317490673177862,0.015360875768478385,0.01790535554387329
arxiv_6266ed18c4,0.06252052083092816,0.15226936883341002,0.24078435074822624,0.32553255140040116,1.0,0.0805111000764593,0.07536164334347945,0.26091714735908106,0.08228163274183951,0.18889796346849766,0.06897578377232198,0.0560971966043967,0.017068857826795368,0.1322148042039212,0.12961413725122456,0.09598524129805773,0.023752661406431487,0.07190880961294097,0.02508742899092028,0.022463880216626146,0.06252052083092816,0.045388618272891604,0.2553027433060345,0.14424375017452915,0.0743498482058156,0.04877324444306589,0.520153647144581,0.04799262064902886,0.05707316594345163,0.045388618272891604
arxiv_64e0a55208,0.14929478442739436,0.5286256650500639,0.5521379187271861,0.38707587808182065,1.0,0.49133614479446164,0.3737660886999578,0.19026569653837647,0.596897401896451,0.596897401896451,0.5327547586754884,0.2049903761813297,0.3288295214870319,0.6580802145270701,0.596897401896451,0.19026569653837647,0.4640333028149961,0.19026569653837647,0.3020559864177371,0.292535897321001,0.509811236020551,0.5236444823992774,0.426623936073754,0.14799077496073745,0.6728481668916942,0.4505629779960364,0.9452861848260063,0.22952177306405488,0.2049903761813297,0.1622964021635531
arxiv_6a1e911894,0.10550600556041557,0.34228034887472175,0.05595642461260143,0.014216645907653848,1.0,0.12546849248796285,0.12546849248796285,0.09950615774798435,0.30360783881924946,0.30360783881924946,0.30360783881924946,0.30360783881924946,0.30360783881924946,0.30360783881924946,0.09950615774798435,0.30360783881924946,0.09950615774798435,0.05595642461260143,0.05595642461260143,0.05108099332943181,0.34228034887472175,0.09950615774798435,0.09950615774798435,0.05108099332943181,0.30360783881924946,0.30360783881924946,0.34228034887472175,0.05231274452070234,0.05595642461260143,0.05595642461260143
arxiv_6dc7e3a898,,,0.7033425049323639,,,,,0.71866510853689,0.7282867671951772,,,0.5285108311980179,,,,0.6611915635793955,,,0.6640209236060342,0.5378412441506182,0.6565181196448049,,,,0.9123203916104182,,,,,0.6711684133632774
arxiv_6e5eaf404b,0.05336626135787335,0.1695964751509345,0.06757878745244754,0.05429471835711659,1.0,0.2541369971207022,0.05905947656676038,0.025927367324198636,0.19406071325325308,0.0609367108961758,0.21153303636375162,0.024866848805142307,0.025413699712070217,0.02945917687527112,0.1722644519807692,0.021370288986214202,0.02246973440378967,0.06346353770787776,0.009812163258584559,0.009490012376346203,0.20485811195757533,0.06300528724754456,0.0782759813974269,0.027860769337928065,0.20519422155676922,0.024866848805142307,0.3247581636882549,0.009812163258584559,0.03001005413244102,0.01687589360987099
arxiv_70ca7a584b,,,0.5996612507743526,,,0.40237304088049086,,0.694599109383421,0.672651354383689,0.5315577501380563,,0.4965589442821808,0.3847313214399861,,,0.39342147763180685,0.3876362303248464,0.4545190718460418,0.5873269121417614,0.5897702730084481,,,,0.5018733250354662,0.6699629872101447,,,0.3691112893649357,0.4294994759066865,
arxiv_7638040826,0.15397423418798378,0.15397423418798378,0.15397423418798378,0.04464053954862059,1.0,0.14899600493331622,0.1463074401357828,0.10333984099535913,0.26765226160005684,0.26765226160005684,0.26765226160005684,0.15397423418798378,0.15397423418798378,0.0704558607203398,0.15397423418798378,0.15397423418798378,0.15397423418798378,0.15397423418798378,0.03868734741776856,0.03868734741776856,0.15397423418798378,0.15397423418798378,0.15562125171333166,0.0704558607203398,0.04886639374854163,0.15397423418798378,0.29783796897264037,0.01869642599493655,0.10333984099535913,0.10333984099535913
arxiv_82ccef75df,0.44780575075736295,0.5261433842307197,0.20374899263417415,0.32754152294339056,1.0,0.3888398509938816,0.33765986370261475,0.24876675536871823,0.5244163977970597,0.5244163977970597,0.40960398813787313,0.4626449536893798,0.4517515570981022,0.4756701041392398,0.5520904638132346,0.19694774164152162,0.18626167406959446,0.20374899263417415,0.04643789905880297,0.19075313016645695,0.3912123823606586,0.41967548063204524,0.5975003598259766,0.36023423652382947,0.8399870909551809,0.284651281446665,1.0,0.30557856083700796,0.3428164675225582,0.3476310291918706
arxiv_a783ff97d3,0.5770006468811202,0.6857744918211148,,,0.9048374180359595,0.6497848175353425,,0.6497848175353425,,0.7211575024461385,,,0.6130670542254457,,0.6497848175353425,,,,,0.6130670542254457,,,,,,0.6130670542254457,,,,0.6130670542254457
